text,label,label_encoded,text_length,word_count
The pain is unbearable. I don't want to feel this way anymore. I want to disappear. Nobody would even notice.,crisis,2,109,20
"Today, finished reading a great book. highly recommend it.",low_stress,0,58,9
I don't see a way out of this situation anymore.,crisis,2,48,10
"Yesterday, had a restful sleep last night. feeling refreshed.",low_stress,0,61,9
"This week, can't handle the pain anymore. need it to stop. I'm going to end it all soon. Made my decision.",crisis,2,106,21
"This week, feeling anxious about the upcoming presentation.",high_stress,1,59,8
"Yesterday, completed my project on time. feeling accomplished! Excited about the weekend plans with friends.",low_stress,0,108,15
Had a productive workout session this morning.,low_stress,0,46,7
Feeling overwhelmed by responsibilities. Can't seem to focus on anything. Mind is all over the place.,high_stress,1,101,16
"Lately, feeling content with life right now.",low_stress,0,44,7
Just finished a nice walk in the park. The weather is beautiful.,low_stress,0,64,12
Everyone would be happier if I wasn't around.,crisis,2,45,8
Worried about my health. Need to see a doctor soon.,high_stress,1,51,10
Feeling burned out. Everything feels like too much.,high_stress,1,51,8
"Recently, enjoying my new hobby. it's very relaxing.",low_stress,0,52,8
"This month, worried about my health. need to see a doctor soon.",high_stress,1,63,12
I'm a burden to everyone. They'd be better off without me.,crisis,2,58,11
"Yesterday, i can't do this anymore. the suffering is too much. I want to disappear. Nobody would even notice.",crisis,2,109,19
"Recently, feeling overwhelmed by responsibilities.",high_stress,1,50,5
"Today, life feels meaningless. i don't want to be here.",crisis,2,55,10
"Lately, can't stop thinking about ending everything. Thinking about suicide constantly. Can't escape these thoughts.",crisis,2,116,15
The pain is unbearable. I don't want to feel this way anymore. Thinking about suicide constantly. Can't escape these thoughts.,crisis,2,126,20
Anxiety has been high this week. Hard to relax.,high_stress,1,47,9
Relationship problems are causing a lot of stress.,high_stress,1,50,8
"Today, had a great day at work today. feeling productive and happy. Enjoying my new hobby. It's very relaxing.",low_stress,0,110,19
Struggling to keep up with everything. Feeling exhausted.,high_stress,1,57,8
Had a productive workout session this morning. Had a good conversation with my family today.,low_stress,0,92,15
The darkness is overwhelming. I see no light ahead. Can't handle the pain anymore. Need it to stop.,crisis,2,99,18
Feeling completely hopeless. Nothing seems to matter.,crisis,2,53,7
The darkness is overwhelming. I see no light ahead.,crisis,2,51,9
I've been planning to hurt myself. Can't take it anymore. I'm going to end it all soon. Made my decision.,crisis,2,105,20
Feeling content with life right now.,low_stress,0,36,6
"Today, had a difficult conversation today. still feeling tense.",high_stress,1,63,9
"Lately, work has been really overwhelming lately. so many deadlines. Work has been really overwhelming lately. So many deadlines.",high_stress,1,129,19
I don't see a way out of this situation anymore.,crisis,2,48,10
Just finished a nice walk in the park. The weather is beautiful.,low_stress,0,64,12
"Yesterday, worried about my health. need to see a doctor soon.",high_stress,1,62,11
Feeling burned out. Everything feels like too much.,high_stress,1,51,8
Feeling completely hopeless. Nothing seems to matter.,crisis,2,53,7
Worried about my health. Need to see a doctor soon.,high_stress,1,51,10
Excited about the weekend plans with friends.,low_stress,0,45,7
Feeling positive about the future. Feeling content with life right now.,low_stress,0,71,11
Haven't been sleeping well. Mind keeps racing at night. Struggling to keep up with everything. Feeling exhausted.,high_stress,1,113,17
Looking forward to the vacation next month.,low_stress,0,43,7
Had a restful sleep last night. Feeling refreshed.,low_stress,0,50,8
"Recently, feeling positive about the future.",low_stress,0,44,6
"Today, finished reading a great book. highly recommend it.",low_stress,0,58,9
"This month, feeling anxious about the upcoming presentation.",high_stress,1,60,8
Looking forward to the vacation next month.,low_stress,0,43,7
I don't see a way out of this situation anymore.,crisis,2,48,10
"Today, enjoying my new hobby. it's very relaxing.",low_stress,0,49,8
"Lately, completed my project on time. feeling accomplished!",low_stress,0,59,8
Can't handle the pain anymore. Need it to stop.,crisis,2,47,9
The darkness is overwhelming. I see no light ahead.,crisis,2,51,9
"Today, anxiety has been high this week. hard to relax.",high_stress,1,54,10
Work-life balance is completely off. Need a break.,high_stress,1,50,8
"Today, struggling to keep up with everything. feeling exhausted.",high_stress,1,64,9
Everyone would be happier if I wasn't around.,crisis,2,45,8
"This week, had a productive workout session this morning.",low_stress,0,57,9
Feeling like there's no point in continuing.,crisis,2,44,7
"This week, can't handle the pain anymore. need it to stop.",crisis,2,58,11
"Today, grateful for the support from my colleagues.",low_stress,0,51,8
"This month, grateful for the support from my colleagues.",low_stress,0,56,9
Had a difficult conversation today. Still feeling tense.,high_stress,1,56,8
Looking forward to the vacation next month.,low_stress,0,43,7
Feeling overwhelmed by responsibilities.,high_stress,1,40,4
i've been planning to hurt myself. can't take it anymore.,crisis,2,57,10
"Today, had a good conversation with my family today. Enjoying my new hobby. It's very relaxing.",low_stress,0,95,16
"Today, work-life balance is completely off. need a break.",high_stress,1,57,9
"Recently, anxiety has been high this week. hard to relax. Feeling anxious about the upcoming presentation.",high_stress,1,106,16
Can't seem to focus on anything. Mind is all over the place.,high_stress,1,60,12
Had a productive workout session this morning. Had a great day at work today. Feeling productive and happy.,low_stress,0,107,18
Had a great day at work today. Feeling productive and happy.,low_stress,0,60,11
"Recently, worried about my health. need to see a doctor soon.",high_stress,1,61,11
Had a productive workout session this morning. Had a nice dinner with friends. Good times!,low_stress,0,90,15
Can't handle the pain anymore. Need it to stop.,crisis,2,47,9
"Yesterday, struggling to keep up with everything. feeling exhausted.",high_stress,1,68,9
I'm a burden to everyone. They'd be better off without me. Can't stop thinking about ending everything.,crisis,2,103,17
"This month, excited about the weekend plans with friends. Enjoying my new hobby. It's very relaxing.",low_stress,0,100,16
Can't stop thinking about ending everything.,crisis,2,44,6
"Lately, anxiety has been high this week. hard to relax.",high_stress,1,55,10
"Recently, haven't been sleeping well. mind keeps racing at night.",high_stress,1,65,10
"Today, feeling isolated. haven't seen friends in weeks. Worried about my health. Need to see a doctor soon.",high_stress,1,107,18
"This month, enjoying my new hobby. it's very relaxing.",low_stress,0,54,9
I've been planning to hurt myself. Can't take it anymore.,crisis,2,57,10
"This month, feeling like there's no point in continuing. I can't do this anymore. The suffering is too much.",crisis,2,108,19
Anxiety has been high this week. Hard to relax.,high_stress,1,47,9
"Today, work-life balance is completely off. need a break.",high_stress,1,57,9
excited about the weekend plans with friends.,low_stress,0,45,7
"Recently, can't handle the pain anymore. need it to stop.",crisis,2,57,10
"This week, i'm a burden to everyone. they'd be better off without me.",crisis,2,69,13
Feeling completely hopeless. Nothing seems to matter.,crisis,2,53,7
"Recently, finished reading a great book. highly recommend it.",low_stress,0,61,9
Anxiety has been high this week. Hard to relax. Haven't been sleeping well. Mind keeps racing at night.,high_stress,1,103,18
Work has been really overwhelming lately. So many deadlines. Having trouble managing my emotions lately.,high_stress,1,104,15
"This week, work-life balance is completely off. need a break. Feeling isolated. Haven't seen friends in weeks.",high_stress,1,110,17
"Yesterday, work-life balance is completely off. need a break. Anxiety has been high this week. Hard to relax.",high_stress,1,109,18
"This week, feeling like there's no point in continuing.",crisis,2,55,9
I don't see a way out of this situation anymore.,crisis,2,48,10
Feeling overwhelmed by responsibilities.,high_stress,1,40,4
I've been planning to hurt myself. Can't take it anymore.,crisis,2,57,10
Feeling burned out. Everything feels like too much.,high_stress,1,51,8
I'm a burden to everyone. They'd be better off without me. Thinking about suicide constantly. Can't escape these thoughts.,crisis,2,122,19
Feeling positive about the future.,low_stress,0,34,5
Worried about my health. Need to see a doctor soon.,high_stress,1,51,10
feeling completely hopeless. nothing seems to matter.,crisis,2,53,7
Just finished a nice walk in the park. The weather is beautiful. Feeling positive about the future.,low_stress,0,99,17
"This week, feeling anxious about the upcoming presentation.",high_stress,1,59,8
"Today, i'm a burden to everyone. they'd be better off without me.",crisis,2,65,12
Excited about the weekend plans with friends.,low_stress,0,45,7
"This week, work has been really overwhelming lately. so many deadlines.",high_stress,1,71,11
"This week, had a productive workout session this morning.",low_stress,0,57,9
"This month, relationship problems are causing a lot of stress.",high_stress,1,62,10
Feeling completely hopeless. Nothing seems to matter.,crisis,2,53,7
Just finished a nice walk in the park. The weather is beautiful.,low_stress,0,64,12
Thinking about suicide constantly. Can't escape these thoughts.,crisis,2,63,8
Life feels meaningless. I don't want to be here.,crisis,2,48,9
"Lately, finished reading a great book. highly recommend it.",low_stress,0,59,9
I want to disappear. Nobody would even notice.,crisis,2,46,8
"This month, feeling positive about the future. Excited about the weekend plans with friends.",low_stress,0,92,14
Can't handle the pain anymore. Need it to stop. I'm a burden to everyone. They'd be better off without me.,crisis,2,106,20
"This month, worried about my health. need to see a doctor soon. Feeling burned out. Everything feels like too much.",high_stress,1,115,20
Thinking about suicide constantly. Can't escape these thoughts.,crisis,2,63,8
Can't handle the pain anymore. Need it to stop.,crisis,2,47,9
"Today, struggling to keep up with everything. feeling exhausted.",high_stress,1,64,9
Had a productive workout session this morning.,low_stress,0,46,7
"This week, feeling positive about the future. Completed my project on time. Feeling accomplished!",low_stress,0,97,14
"This week, looking forward to the vacation next month.",low_stress,0,54,9
"Recently, financial stress is getting to me. bills keep piling up.",high_stress,1,66,11
"This week, work has been really overwhelming lately. so many deadlines.",high_stress,1,71,11
Anxiety has been high this week. Hard to relax. Feeling isolated. Haven't seen friends in weeks.,high_stress,1,96,16
Can't stop thinking about ending everything. I've been planning to hurt myself. Can't take it anymore.,crisis,2,102,16
Excited about the weekend plans with friends. Grateful for the support from my colleagues.,low_stress,0,90,14
"This month, feeling content with life right now.",low_stress,0,48,8
"Recently, feeling burned out. everything feels like too much. Financial stress is getting to me. Bills keep piling up.",high_stress,1,118,19
Haven't been sleeping well. Mind keeps racing at night.,high_stress,1,55,9
Completed my project on time. Feeling accomplished!,low_stress,0,51,7
Struggling to keep up with everything. Feeling exhausted. Feeling overwhelmed by responsibilities.,high_stress,1,98,12
"Recently, work has been really overwhelming lately. so many deadlines.",high_stress,1,70,10
"Recently, had a difficult conversation today. still feeling tense.",high_stress,1,66,9
Completed my project on time. Feeling accomplished!,low_stress,0,51,7
"This week, struggling to keep up with everything. feeling exhausted.",high_stress,1,68,10
Had a great day at work today. Feeling productive and happy. Had a nice dinner with friends. Good times!,low_stress,0,104,19
i'm going to end it all soon. made my decision.,crisis,2,47,10
Had a productive workout session this morning.,low_stress,0,46,7
"Lately, grateful for the support from my colleagues. Grateful for the support from my colleagues.",low_stress,0,97,15
"Today, made progress on my goals today. feeling motivated. Had a nice dinner with friends. Good times!",low_stress,0,102,17
Life feels meaningless. I don't want to be here.,crisis,2,48,9
Haven't been sleeping well. Mind keeps racing at night.,high_stress,1,55,9
"Lately, finished reading a great book. highly recommend it. Had a good conversation with my family today.",low_stress,0,105,17
"This week, just finished a nice walk in the park. the weather is beautiful.",low_stress,0,75,14
Struggling to keep up with everything. Feeling exhausted.,high_stress,1,57,8
"Recently, the pain is unbearable. i don't want to feel this way anymore. Can't handle the pain anymore. Need it to stop.",crisis,2,120,22
Feeling isolated. Haven't seen friends in weeks.,high_stress,1,48,7
"Today, anxiety has been high this week. hard to relax.",high_stress,1,54,10
"Lately, haven't been sleeping well. mind keeps racing at night. Had a difficult conversation today. Still feeling tense.",high_stress,1,120,18
"Lately, life feels meaningless. i don't want to be here. The pain is unbearable. I don't want to feel this way anymore.",crisis,2,119,22
"Today, worried about my health. need to see a doctor soon. Haven't been sleeping well. Mind keeps racing at night.",high_stress,1,114,20
"Lately, enjoying my new hobby. it's very relaxing.",low_stress,0,50,8
"Yesterday, enjoying my new hobby. it's very relaxing. Had a productive workout session this morning.",low_stress,0,100,15
