flight_id,scheduled_arrival,actual_arrival,cleaning_time,fueling_time,boarding_time,baggage_time,weather_condition,gate_available,crew_ready_offset,gate_delay,weather_delay,crew_delay_impact,actual_turnaround_time,scheduled_departure,actual_departure,departure_delay_minutes,is_delayed
AX314,2024-03-16 13:55:00,2024-03-16 13:55:00,16.3,23.7,30.2,16.3,Sunny,1,-11.1,0,0.0,0.0,53.9,2024-03-16 14:40:00,2024-03-16 14:48:54.000000000,8.9,0
AX430,2024-01-08 14:11:00,2024-01-08 14:16:00,18.7,14.5,24.9,23.2,Rainy,1,-35.7,0,4.3935522383241,0.0,52.49355223832409,2024-01-08 14:56:00,2024-01-08 15:08:29.613134298,12.4935522383,0
AX558,2024-03-29 07:16:00,2024-03-29 07:14:00,17.5,10.3,21.8,18.9,Sunny,1,-16.5,0,0.0,0.0,40.7,2024-03-29 08:01:00,2024-03-29 07:54:42.000000000,-6.3,0
AX187,2024-02-20 19:29:00,2024-02-20 19:44:00,26.4,17.5,27.1,12.6,Sunny,1,-3.0,0,0.0,0.0,53.5,2024-02-20 20:14:00,2024-02-20 20:37:30.000000000,23.5,1
AX472,2024-03-30 21:37:00,2024-03-30 21:37:00,17.0,15.2,28.7,33.0,Sunny,1,-4.2,0,0.0,0.0,61.7,2024-03-30 22:22:00,2024-03-30 22:38:42.000000000,16.7,1
AX199,2024-02-05 03:59:00,2024-02-05 04:05:00,28.6,15.4,27.3,20.9,Sunny,1,20.0,0,0.0,20.0,55.900000000000006,2024-02-05 04:44:00,2024-02-05 05:00:54.000000000,16.9,1
AX971,2024-03-26 02:16:00,2024-03-26 02:15:00,25.7,14.9,29.9,26.2,Rainy,1,-15.3,0,5.821635181987808,0.0,61.9216351819878,2024-03-26 03:01:00,2024-03-26 03:16:55.298110920,15.921635182,1
AX763,2024-03-12 17:53:00,2024-03-12 17:58:00,17.6,8.6,25.6,18.3,Sunny,1,-4.0,0,0.0,0.0,43.900000000000006,2024-03-12 18:38:00,2024-03-12 18:41:54.000000000,3.9,0
AX230,2024-02-10 21:41:00,2024-02-10 21:40:00,21.6,16.0,19.0,19.8,Snowy,1,0.5,0,34.06691799968852,0.5,74.66691799968852,2024-02-10 22:26:00,2024-02-10 22:54:40.015079982,28.6669179997,1
AX761,2024-03-10 17:37:00,2024-03-10 17:45:00,22.6,13.6,21.2,20.8,Sunny,1,-2.7,0,0.0,0.0,43.8,2024-03-10 18:22:00,2024-03-10 18:28:48.000000000,6.8,0
AX408,2024-01-01 17:24:00,2024-01-01 17:21:00,24.2,13.8,33.2,18.6,Sunny,0,-21.8,20,0.0,0.0,77.4,2024-01-01 18:09:00,2024-01-01 18:38:24.000000000,29.4,1
AX869,2024-02-02 10:11:00,2024-02-02 10:10:00,24.7,13.4,25.2,16.2,Foggy,1,-3.4,0,17.41754247155487,0.0,67.31754247155487,2024-02-02 10:56:00,2024-02-02 11:17:19.052548296,21.3175424716,1
AX443,2024-03-10 22:55:00,2024-03-10 22:58:00,20.9,14.8,18.2,31.0,Sunny,0,-24.7,28,0.0,0.0,77.2,2024-03-10 23:40:00,2024-03-11 00:15:12.000000000,35.2,1
AX591,2024-01-17 22:03:00,2024-01-17 22:08:00,15.2,16.0,17.7,21.8,Sunny,1,-16.5,0,0.0,0.0,39.5,2024-01-17 22:48:00,2024-01-17 22:47:30.000000000,-0.5,0
AX513,2024-02-02 10:14:00,2024-02-02 10:11:00,23.2,14.9,17.0,12.1,Sunny,1,-12.4,0,0.0,0.0,40.2,2024-02-02 10:59:00,2024-02-02 10:51:12.000000000,-7.8,0
AX905,2024-01-02 02:22:00,2024-01-02 02:21:00,18.8,19.6,29.9,20.5,Sunny,1,-12.7,0,0.0,0.0,50.4,2024-01-02 03:07:00,2024-01-02 03:11:24.000000000,4.4,0
AX485,2024-02-25 11:50:00,2024-02-25 11:47:00,10.0,18.0,26.9,12.8,Sunny,1,-33.0,0,0.0,0.0,44.9,2024-02-25 12:35:00,2024-02-25 12:31:54.000000000,-3.1,0
AX291,2024-02-16 10:04:00,2024-02-16 10:16:00,22.0,14.7,36.1,15.8,Sunny,1,-10.6,0,0.0,0.0,58.1,2024-02-16 10:49:00,2024-02-16 11:14:06.000000000,25.1,1
AX376,2024-01-15 19:01:00,2024-01-15 19:37:00,16.3,10.9,28.5,20.5,Snowy,1,-8.0,0,30.071074693922068,0.0,79.07107469392207,2024-01-15 19:46:00,2024-01-15 20:56:04.264481634,70.0710746939,1
AX260,2024-02-21 14:49:00,2024-02-21 14:48:00,17.7,17.3,28.8,22.7,Rainy,1,-6.5,0,5.093311473200956,0.0,56.593311473200956,2024-02-21 15:34:00,2024-02-21 15:44:35.598688392,10.5933114732,0
AX559,2024-01-02 03:00:00,2024-01-02 03:01:00,20.0,13.7,36.9,10.0,Sunny,1,-13.8,0,0.0,0.0,56.9,2024-01-02 03:45:00,2024-01-02 03:57:54.000000000,12.9,0
AX413,2024-02-13 05:04:00,2024-02-13 05:06:00,12.2,14.3,19.2,28.6,Sunny,1,19.6,0,0.0,19.6,47.8,2024-02-13 05:49:00,2024-02-13 05:53:48.000000000,4.8,0
AX121,2024-02-09 08:15:00,2024-02-09 08:12:00,20.7,9.7,16.0,16.7,Rainy,1,-7.2,0,4.637883550797592,0.0,41.33788355079759,2024-02-09 09:00:00,2024-02-09 08:53:20.273013048,-6.6621164492,0
AX352,2024-03-07 06:19:00,2024-03-07 06:25:00,18.4,16.7,28.3,18.9,Sunny,1,-16.4,0,0.0,0.0,47.2,2024-03-07 07:04:00,2024-03-07 07:12:12.000000000,8.2,0
AX847,2024-01-27 01:34:00,2024-01-27 01:36:00,15.6,25.4,23.5,27.7,Sunny,0,-5.3,22,0.0,0.0,73.2,2024-01-27 02:19:00,2024-01-27 02:49:12.000000000,30.2,1
AX956,2024-03-24 08:50:00,2024-03-24 08:52:00,20.2,13.0,26.8,28.6,Sunny,1,-19.5,0,0.0,0.0,55.400000000000006,2024-03-24 09:35:00,2024-03-24 09:47:24.000000000,12.4,0
AX660,2024-03-12 20:56:00,2024-03-12 20:52:00,11.5,17.5,32.3,16.9,Sunny,1,4.5,0,0.0,4.5,49.8,2024-03-12 21:41:00,2024-03-12 21:41:48.000000000,0.8,0
AX574,2024-01-28 08:30:00,2024-01-28 08:26:00,20.4,20.0,29.6,25.3,Sunny,0,-2.3,29,0.0,0.0,83.9,2024-01-28 09:15:00,2024-01-28 09:49:54.000000000,34.9,1
AX158,2024-02-19 17:49:00,2024-02-19 18:17:00,22.4,12.9,34.1,20.8,Sunny,1,14.2,0,0.0,14.2,56.5,2024-02-19 18:34:00,2024-02-19 19:13:30.000000000,39.5,1
AX610,2024-02-08 18:56:00,2024-02-08 19:19:00,21.5,5.3,19.6,33.3,Sunny,1,5.0,0,0.0,5.0,52.9,2024-02-08 19:41:00,2024-02-08 20:11:54.000000000,30.9,1
AX781,2024-02-04 04:52:00,2024-02-04 04:48:00,23.9,17.8,30.4,16.6,Foggy,1,12.5,0,12.84331255372123,12.5,67.14331255372123,2024-02-04 05:37:00,2024-02-04 05:55:08.598753222,18.1433125537,1
AX575,2024-02-08 18:09:00,2024-02-08 18:11:00,25.8,15.3,20.4,28.2,Sunny,1,-42.5,0,0.0,0.0,48.599999999999994,2024-02-08 18:54:00,2024-02-08 18:59:36.000000000,5.6,0
AX799,2024-01-16 10:59:00,2024-01-16 10:55:00,19.6,16.2,35.0,17.1,Rainy,1,-25.3,0,5.723723908645192,0.0,60.32372390864519,2024-01-16 11:44:00,2024-01-16 11:55:19.423434516,11.3237239086,0
AX882,2024-01-15 08:15:00,2024-01-15 08:25:00,25.5,15.2,27.7,14.6,Sunny,1,0.6,0,0.0,0.6,53.2,2024-01-15 09:00:00,2024-01-15 09:18:12.000000000,18.2,1
AX289,2024-01-23 22:05:00,2024-01-23 22:01:00,19.6,19.6,28.0,18.5,Rainy,1,-18.7,0,4.562085078540838,0.0,52.16208507854084,2024-01-23 22:50:00,2024-01-23 22:53:09.725104710,3.1620850785,0
AX786,2024-01-22 23:09:00,2024-01-22 23:11:00,16.5,14.6,21.5,11.8,Snowy,1,13.0,0,29.036612211910953,13.0,67.03661221191095,2024-01-22 23:54:00,2024-01-23 00:18:02.196732714,24.0366122119,1
AX662,2024-01-17 09:30:00,2024-01-17 09:34:00,18.0,23.7,21.8,15.3,Sunny,1,-13.6,0,0.0,0.0,45.5,2024-01-17 10:15:00,2024-01-17 10:19:30.000000000,4.5,0
AX975,2024-02-09 17:04:00,2024-02-09 17:01:00,21.3,17.8,27.4,18.4,Sunny,1,6.9,0,0.0,6.9,48.7,2024-02-09 17:49:00,2024-02-09 17:49:42.000000000,0.7,0
AX666,2024-01-16 00:02:00,2024-01-16 00:06:00,25.4,19.0,35.5,18.7,Sunny,1,-2.7,0,0.0,0.0,60.9,2024-01-16 00:47:00,2024-01-16 01:06:54.000000000,19.9,1
AX343,2024-02-29 16:25:00,2024-02-29 16:48:00,20.0,15.0,34.5,24.6,Rainy,1,-11.3,0,5.068200168343987,0.0,64.16820016834399,2024-02-29 17:10:00,2024-02-29 17:52:10.092010098,42.168200168300004,1
AX931,2024-01-08 17:10:00,2024-01-08 17:07:00,16.6,16.2,27.2,24.1,Rainy,1,-20.5,0,5.546502346246092,0.0,56.84650234624609,2024-01-08 17:55:00,2024-01-08 18:03:50.790140772,8.8465023462,0
AX604,2024-01-05 05:13:00,2024-01-05 05:19:00,27.2,8.2,22.5,19.8,Sunny,1,-5.1,0,0.0,0.0,49.7,2024-01-05 05:58:00,2024-01-05 06:08:42.000000000,10.7,0
AX230,2024-03-11 00:46:00,2024-03-11 00:45:00,12.8,12.7,28.4,11.3,Sunny,1,-12.6,0,0.0,0.0,41.2,2024-03-11 01:31:00,2024-03-11 01:26:12.000000000,-4.8,0
AX584,2024-02-26 02:58:00,2024-02-26 02:57:00,16.7,19.3,32.5,10.0,Sunny,1,-22.0,0,0.0,0.0,51.8,2024-02-26 03:43:00,2024-02-26 03:48:48.000000000,5.8,0
AX918,2024-01-08 01:55:00,2024-01-08 01:57:00,24.5,14.7,26.3,17.4,Sunny,1,-31.3,0,0.0,0.0,50.8,2024-01-08 02:40:00,2024-01-08 02:47:48.000000000,7.8,0
AX746,2024-01-02 01:37:00,2024-01-02 01:58:00,28.8,10.5,22.7,15.8,Sunny,1,-8.6,0,0.0,0.0,51.5,2024-01-02 02:22:00,2024-01-02 02:49:30.000000000,27.5,1
AX120,2024-01-12 21:38:00,2024-01-12 21:36:00,22.4,12.3,29.1,17.0,Sunny,1,4.9,0,0.0,4.9,51.5,2024-01-12 22:23:00,2024-01-12 22:27:30.000000000,4.5,0
AX940,2024-01-31 18:48:00,2024-01-31 19:33:00,21.2,12.2,23.6,28.1,Sunny,0,-5.6,26,0.0,0.0,77.7,2024-01-31 19:33:00,2024-01-31 20:50:42.000000000,77.7,1
AX266,2024-03-27 21:38:00,2024-03-27 21:34:00,18.5,14.8,22.9,17.0,Snowy,1,0.8,0,35.812701819202076,0.8,77.21270181920207,2024-03-27 22:23:00,2024-03-27 22:51:12.762109152,28.2127018192,1
AX373,2024-02-02 02:02:00,2024-02-02 02:25:00,22.7,11.7,24.7,15.7,Sunny,1,-11.8,0,0.0,0.0,47.4,2024-02-02 02:47:00,2024-02-02 03:12:24.000000000,25.4,1
AX487,2024-01-28 21:24:00,2024-01-28 21:20:00,20.6,20.7,29.0,20.0,Sunny,1,-21.9,0,0.0,0.0,49.7,2024-01-28 22:09:00,2024-01-28 22:09:42.000000000,0.7,0
AX700,2024-03-28 21:05:00,2024-03-28 21:02:00,16.2,15.8,23.7,17.4,Sunny,1,1.3,0,0.0,1.3,41.099999999999994,2024-03-28 21:50:00,2024-03-28 21:43:06.000000000,-6.9,0
AX415,2024-03-03 07:43:00,2024-03-03 08:15:00,18.5,9.4,24.8,23.0,Foggy,1,-13.5,0,15.5147482338236,0.0,63.31474823382359,2024-03-03 08:28:00,2024-03-03 09:18:18.884894028,50.314748233799996,1
AX113,2024-02-07 22:59:00,2024-02-07 22:58:00,15.7,21.1,25.9,21.2,Rainy,1,-9.2,0,5.705453707152687,0.0,52.80545370715268,2024-02-07 23:44:00,2024-02-07 23:50:48.327222432,6.8054537072,0
AX341,2024-02-29 19:55:00,2024-02-29 19:51:00,20.1,14.8,22.7,29.3,Sunny,0,1.1,26,0.0,1.1,78.0,2024-02-29 20:40:00,2024-02-29 21:09:00.000000000,29.0,1
AX876,2024-02-04 12:12:00,2024-02-04 12:28:00,20.8,17.0,34.3,18.5,Rainy,1,1.3,0,4.408485268934322,1.3,59.508485268934315,2024-02-04 12:57:00,2024-02-04 13:27:30.509116134,30.5084852689,1
AX445,2024-03-24 11:18:00,2024-03-24 11:37:00,28.2,16.2,36.1,29.7,Rainy,1,-8.5,0,5.060174960044503,0.0,70.8601749600445,2024-03-24 12:03:00,2024-03-24 12:47:51.610497600,44.86017496,1
AX664,2024-01-18 06:05:00,2024-01-18 06:13:00,17.0,16.7,23.2,23.5,Foggy,1,3.2,0,14.13229007193109,3.2,60.83229007193109,2024-01-18 06:50:00,2024-01-18 07:13:49.937404314,23.8322900719,1
AX997,2024-03-03 09:26:00,2024-03-03 09:49:00,19.1,13.6,20.2,22.7,Rainy,1,-1.9,0,5.6522194867159925,0.0,48.55221948671599,2024-03-03 10:11:00,2024-03-03 10:37:33.133169202,26.5522194867,1
AX439,2024-03-12 19:55:00,2024-03-12 19:54:00,26.3,16.3,22.2,10.1,Sunny,1,-1.6,0,0.0,0.0,48.5,2024-03-12 20:40:00,2024-03-12 20:42:30.000000000,2.5,0
AX191,2024-01-22 05:22:00,2024-01-22 05:27:00,29.0,14.4,27.7,10.0,Sunny,0,10.3,22,0.0,10.3,78.7,2024-01-22 06:07:00,2024-01-22 06:45:42.000000000,38.7,1
AX466,2024-01-20 11:16:00,2024-01-20 11:24:00,22.4,16.4,24.5,12.0,Rainy,1,-1.1,0,5.6214799578306955,0.0,52.52147995783069,2024-01-20 12:01:00,2024-01-20 12:16:31.288797468,15.5214799578,1
AX554,2024-02-12 04:32:00,2024-02-12 05:03:00,18.7,14.3,17.3,21.1,Foggy,1,17.5,0,12.090675367054752,17.5,50.490675367054756,2024-02-12 05:17:00,2024-02-12 05:53:29.440522026,36.4906753671,1
AX527,2024-02-21 13:13:00,2024-02-21 13:30:00,17.6,13.8,24.1,23.8,Sunny,1,-30.2,0,0.0,0.0,47.900000000000006,2024-02-21 13:58:00,2024-02-21 14:17:54.000000000,19.9,1
AX608,2024-02-27 16:09:00,2024-02-27 16:05:00,10.8,9.2,27.4,22.7,Sunny,1,-23.6,0,0.0,0.0,50.099999999999994,2024-02-27 16:54:00,2024-02-27 16:55:06.000000000,1.1,0
AX875,2024-03-16 09:35:00,2024-03-16 09:35:00,15.4,15.0,30.9,20.2,Sunny,1,-17.2,0,0.0,0.0,51.099999999999994,2024-03-16 10:20:00,2024-03-16 10:26:06.000000000,6.1,0
AX134,2024-02-17 16:41:00,2024-02-17 16:45:00,20.5,15.9,35.5,24.5,Sunny,1,-26.0,0,0.0,0.0,60.0,2024-02-17 17:26:00,2024-02-17 17:45:00.000000000,19.0,1
AX305,2024-01-20 07:38:00,2024-01-20 07:52:00,19.1,22.4,22.3,26.0,Sunny,1,17.2,0,0.0,17.2,48.3,2024-01-20 08:23:00,2024-01-20 08:40:18.000000000,17.3,1
AX180,2024-01-22 05:04:00,2024-01-22 05:03:00,23.1,16.9,21.3,18.5,Sunny,1,13.9,0,0.0,13.9,44.400000000000006,2024-01-22 05:49:00,2024-01-22 05:47:24.000000000,-1.6,0
AX661,2024-02-13 10:12:00,2024-02-13 10:08:00,19.0,12.1,23.5,22.8,Foggy,1,1.2,0,16.798859414173148,1.2,63.09885941417315,2024-02-13 10:57:00,2024-02-13 11:11:05.931564852,14.0988594142,0
AX971,2024-02-24 14:36:00,2024-02-24 14:34:00,16.4,10.9,19.3,21.9,Rainy,1,-4.6,0,4.15270363534308,0.0,45.35270363534308,2024-02-24 15:21:00,2024-02-24 15:19:21.162218118,-1.6472963647,0
AX487,2024-02-10 01:45:00,2024-02-10 01:45:00,21.7,16.1,20.8,24.0,Rainy,1,-25.5,0,5.287802542249208,0.0,50.08780254224921,2024-02-10 02:30:00,2024-02-10 02:35:05.268152532,5.0878025421999995,0
AX101,2024-01-14 23:04:00,2024-01-14 23:00:00,32.5,12.0,20.8,21.6,Sunny,1,-2.9,0,0.0,0.0,53.3,2024-01-14 23:49:00,2024-01-14 23:53:18.000000000,4.3,0
AX489,2024-03-27 08:16:00,2024-03-27 08:12:00,18.4,12.7,27.0,21.3,Rainy,1,-7.9,0,4.867373069954597,0.0,53.16737306995459,2024-03-27 09:01:00,2024-03-27 09:05:10.042384200,4.16737307,0
AX665,2024-03-29 19:44:00,2024-03-29 19:44:00,20.7,12.0,20.0,17.0,Sunny,1,2.9,0,0.0,2.9,40.7,2024-03-29 20:29:00,2024-03-29 20:24:42.000000000,-4.3,0
AX205,2024-02-18 08:03:00,2024-02-18 08:08:00,24.2,13.7,29.9,21.0,Sunny,1,-16.6,0,0.0,0.0,54.099999999999994,2024-02-18 08:48:00,2024-02-18 09:02:06.000000000,14.1,0
AX871,2024-03-12 04:19:00,2024-03-12 04:26:00,17.1,17.9,31.9,18.3,Foggy,1,-1.3,0,15.464664781055323,0.0,65.66466478105532,2024-03-12 05:04:00,2024-03-12 05:31:39.879886866,27.6646647811,1
AX921,2024-02-10 23:45:00,2024-02-10 23:47:00,26.4,7.0,18.2,14.7,Sunny,1,5.2,0,0.0,5.2,44.599999999999994,2024-02-11 00:30:00,2024-02-11 00:31:36.000000000,1.6,0
AX576,2024-03-07 20:24:00,2024-03-07 20:24:00,12.1,20.2,17.2,21.5,Sunny,1,3.8,0,0.0,3.8,38.7,2024-03-07 21:09:00,2024-03-07 21:02:42.000000000,-6.3,0
AX802,2024-01-23 10:37:00,2024-01-23 10:33:00,18.0,14.2,21.8,14.9,Snowy,1,-7.6,0,25.265692925565777,0.0,65.06569292556577,2024-01-23 11:22:00,2024-01-23 11:38:03.941575535,16.06569292558333,1
AX501,2024-01-22 19:36:00,2024-01-22 19:35:00,18.4,12.5,22.6,19.8,Foggy,0,10.5,22,15.917799938139085,10.5,80.31779993813909,2024-01-22 20:21:00,2024-01-22 20:55:19.067996286,34.3177999381,1
AX829,2024-01-30 04:12:00,2024-01-30 04:18:00,20.8,18.6,32.6,18.2,Rainy,1,-23.0,0,4.105935499960592,0.0,57.5059354999606,2024-01-30 04:57:00,2024-01-30 05:15:30.356130000,18.5059355,1
AX655,2024-03-14 07:45:00,2024-03-14 07:45:00,10.1,14.2,24.7,17.2,Sunny,1,-5.8,0,0.0,0.0,41.9,2024-03-14 08:30:00,2024-03-14 08:26:54.000000000,-3.1,0
AX261,2024-02-17 06:05:00,2024-02-17 06:04:00,26.8,10.8,27.5,27.0,Sunny,1,-1.3,0,0.0,0.0,54.5,2024-02-17 06:50:00,2024-02-17 06:58:30.000000000,8.5,0
AX301,2024-01-15 20:40:00,2024-01-15 20:38:00,22.1,8.9,27.5,28.2,Sunny,1,-10.0,0,0.0,0.0,55.7,2024-01-15 21:25:00,2024-01-15 21:33:42.000000000,8.7,0
AX369,2024-02-03 12:30:00,2024-02-03 12:26:00,25.6,17.8,19.7,18.5,Sunny,1,1.4,0,0.0,1.4,45.3,2024-02-03 13:15:00,2024-02-03 13:11:18.000000000,-3.7,0
AX962,2024-02-20 01:09:00,2024-02-20 01:21:00,28.1,18.0,23.5,25.0,Foggy,1,5.5,0,13.2884591145857,5.5,64.8884591145857,2024-02-20 01:54:00,2024-02-20 02:25:53.307546876,31.8884591146,1
AX915,2024-03-23 22:15:00,2024-03-23 22:31:00,16.3,13.3,24.9,12.1,Foggy,1,-36.8,0,17.761993382069118,0.0,58.961993382069124,2024-03-23 23:00:00,2024-03-23 23:29:57.719602926,29.9619933821,1
AX370,2024-02-04 14:33:00,2024-02-04 14:33:00,10.0,20.3,27.3,14.1,Snowy,1,13.2,0,29.325704415174105,13.2,76.92570441517411,2024-02-04 15:18:00,2024-02-04 15:49:55.542264912,31.925704415200002,1
AX555,2024-02-14 04:44:00,2024-02-14 04:51:00,25.7,15.1,16.4,19.7,Sunny,1,-17.8,0,0.0,0.0,42.099999999999994,2024-02-14 05:29:00,2024-02-14 05:33:06.000000000,4.1,0
AX561,2024-02-25 16:46:00,2024-02-25 16:42:00,18.6,20.3,21.4,14.7,Rainy,1,7.7,0,4.252111206358275,7.7,45.952111206358275,2024-02-25 17:31:00,2024-02-25 17:27:57.126672384,-3.0478887936000003,0
AX826,2024-02-18 05:48:00,2024-02-18 06:04:00,14.3,11.2,25.1,21.9,Rainy,1,-19.9,0,4.33312722733827,0.0,51.33312722733827,2024-02-18 06:33:00,2024-02-18 06:55:19.987633638,22.3331272273,1
AX351,2024-03-19 09:39:00,2024-03-19 09:57:00,22.9,10.7,22.4,21.4,Sunny,1,-2.5,0,0.0,0.0,45.3,2024-03-19 10:24:00,2024-03-19 10:42:18.000000000,18.3,1
AX801,2024-02-11 07:13:00,2024-02-11 07:10:00,32.3,12.9,16.6,19.8,Sunny,1,-2.1,0,0.0,0.0,48.9,2024-02-11 07:58:00,2024-02-11 07:58:54.000000000,0.9,0
AX395,2024-02-01 19:29:00,2024-02-01 19:39:00,19.5,13.4,20.7,31.8,Rainy,1,-12.2,0,4.35803118258434,0.0,56.85803118258434,2024-02-01 20:14:00,2024-02-01 20:35:51.481870956,21.858031182599998,1
AX824,2024-01-27 14:48:00,2024-01-27 14:49:00,24.8,19.6,16.6,21.8,Sunny,1,-16.6,0,0.0,0.0,41.400000000000006,2024-01-27 15:33:00,2024-01-27 15:30:24.000000000,-2.6,0
AX819,2024-01-26 13:04:00,2024-01-26 13:10:00,15.1,16.2,33.3,22.9,Snowy,1,33.5,0,34.96001200240252,33.5,91.16001200240251,2024-01-26 13:49:00,2024-01-26 14:41:09.600720144,52.1600120024,1
AX848,2024-01-17 11:23:00,2024-01-17 11:24:00,11.6,12.0,23.1,22.4,Sunny,0,-17.5,25,0.0,0.0,70.5,2024-01-17 12:08:00,2024-01-17 12:34:30.000000000,26.5,1
AX437,2024-02-12 02:46:00,2024-02-12 02:42:00,24.6,15.0,24.6,15.5,Sunny,0,12.7,29,0.0,12.7,78.2,2024-02-12 03:31:00,2024-02-12 04:00:12.000000000,29.2,1
AX978,2024-02-16 00:15:00,2024-02-16 00:28:00,22.7,13.3,19.1,29.8,Foggy,1,33.2,0,16.313401867281684,33.2,65.21340186728169,2024-02-16 01:00:00,2024-02-16 01:33:12.804112038,33.2134018673,1
AX152,2024-01-01 01:14:00,2024-01-01 01:10:00,17.7,11.8,26.4,13.0,Foggy,1,-15.0,0,17.699312516750698,0.0,61.79931251675069,2024-01-01 01:59:00,2024-01-01 02:11:47.958751008,12.7993125168,0
AX891,2024-03-27 05:33:00,2024-03-27 05:33:00,28.5,14.7,29.2,21.4,Rainy,1,-33.6,0,5.3808067611939645,0.0,63.08080676119397,2024-03-27 06:18:00,2024-03-27 06:36:04.848405672,18.080806761199998,1
AX316,2024-01-19 09:38:00,2024-01-19 10:15:00,11.2,14.2,19.5,23.7,Rainy,1,-9.7,0,4.250453870823561,0.0,47.450453870823566,2024-01-19 10:23:00,2024-01-19 11:02:27.027232248,39.4504538708,1
AX863,2024-02-15 12:02:00,2024-02-15 12:02:00,13.8,11.9,19.6,24.9,Foggy,1,-16.8,0,13.212547841927536,0.0,57.71254784192754,2024-02-15 12:47:00,2024-02-15 12:59:42.752870514,12.712547841900001,0
AX287,2024-03-08 06:41:00,2024-03-08 06:53:00,17.3,11.9,22.0,18.4,Snowy,1,0.4,0,32.434128295227794,0.4,72.8341282952278,2024-03-08 07:26:00,2024-03-08 08:05:50.047697712,39.8341282952,1
AX479,2024-01-15 06:21:00,2024-01-15 06:18:00,18.2,18.3,16.6,23.7,Sunny,0,-16.6,17,0.0,0.0,57.3,2024-01-15 07:06:00,2024-01-15 07:15:18.000000000,9.3,0
AX592,2024-02-01 21:29:00,2024-02-01 21:41:00,27.3,16.7,27.3,14.8,Rainy,1,-12.7,0,5.653346546238874,0.0,60.25334654623887,2024-02-01 22:14:00,2024-02-01 22:41:15.200792772,27.253346546200003,1
AX140,2024-03-26 13:19:00,2024-03-26 13:20:00,20.2,18.8,29.6,28.4,Sunny,1,-10.5,0,0.0,0.0,58.0,2024-03-26 14:04:00,2024-03-26 14:18:00.000000000,14.0,0
AX256,2024-03-10 18:13:00,2024-03-10 18:15:00,19.0,13.9,16.4,19.2,Sunny,1,-27.8,0,0.0,0.0,35.599999999999994,2024-03-10 18:58:00,2024-03-10 18:50:36.000000000,-7.4,0
AX114,2024-01-19 01:48:00,2024-01-19 02:17:00,13.6,10.6,30.3,17.5,Rainy,1,-12.8,0,4.764660550116794,0.0,52.56466055011679,2024-01-19 02:33:00,2024-01-19 03:09:33.879633006,36.5646605501,1
